stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,settlement,county
8210B153991,153991,Tullow North,,52.80481999,-6.732506391,,,,,Tullow,County_Carlow
8210B154001,154001,Tullow North,,52.80465809,-6.732496268,,,,,Tullow,County_Carlow
8210B202101,202101,Wexford Road Business Park,,52.820615,-6.897133333,,,,,Wexford Road Business Park,County_Carlow
8210B335561,335561,Barrck Street,,52.83538687,-6.925423458,,,,,Carlow,County_Carlow
8210B3355701,335571,Hanover Bus Park,,52.833738,-6.926948,,,,,Carlow,County_Carlow
8210B3355702,335572,Carlow Coach Park,,52.83372901,-6.926963347,,,,,Carlow,County_Carlow
8210B339081,339081,Seskin Road,,52.738872,-6.98568732,,,,,Seskin Road,County_Carlow
8210B3394301,339431,Royal Oak Road,,52.704245,-6.984179,,,,,Royal Oak Road,County_Carlow
8210B3511401,351141,Rathvilly,,52.88061916,-6.695247854,,,,,Rathvilly,County_Carlow
8210B3511402,351142,Rathvilly,,52.880638,-6.695327,,,,,Rathvilly,County_Carlow
8210B3511801,351181,Kildavin,,52.683916,-6.685386,,,,,Kildavin,County_Carlow
8210B351711,351711,Ballon,,52.74018795,-6.770399763,,,,,Ballon,County_Carlow
8210B351721,351721,Ballon,,52.74008727,-6.770224881,,,,,Ballon,County_Carlow
8210B3555602,355562,The Square Tullow,,52.80293551,-6.736165147,,,,,Tullow,County_Carlow
8210B3555603,355563,Tullow,,52.80293567,-6.736179974,,,,,Tullow,County_Carlow
8210B3555604,355564,Tullow,,52.80312326,-6.736070716,,,,,Tullow,County_Carlow
8210B5981201,598121,Carlow IT,,52.8300544,-6.936121166,,,,,Carlow,County_Carlow
8210CO11091,201001,Tyndall College,,52.81918708,-6.94511035,,,,,Tyndall College,County_Carlow
8210CO11092,11092,South East T.U.,,52.82585751,-6.937188201,,,,,Carlow,County_Carlow
8210CO11093,110931,Bourlum Wood,,52.82340897,-6.935764173,,,,,Carlow,County_Carlow
8210CO11094,110941,Green Road,,52.82549722,-6.93409575,,,,,Carlow,County_Carlow
8210CO11095,110951,New Street,,52.82972931,-6.930949974,,,,,Carlow,County_Carlow
8210CO11096,110961,Hanover Road,,52.83140279,-6.929142867,,,,,Carlow,County_Carlow
8210CO11098,110981,Fire Station,,52.83686752,-6.923175397,,,,,Carlow,County_Carlow
8210CO11099,110991,Green Lane,,52.84123902,-6.917604707,,,,,Carlow,County_Carlow
8210CO11100,111001,Deerpark,,52.84502561,-6.910028569,,,,,Carlow,County_Carlow
8210CO11101,111011,O'Brien Road,,52.84043235,-6.909015477,,,,,Carlow,County_Carlow
8210CO11102,201041,Sandhills,,52.83960154,-6.904687205,,,,,Carlow,County_Carlow
8210CO11103,201051,Burrindale,,52.84171856,-6.902288571,,,,,Carlow,County_Carlow
8210CO11104,111041,Beechwood Park,,52.84472905,-6.899317848,,,,,Carlow,County_Carlow
8210CO11105,201061,Pollerton Manor,,52.84675349,-6.895673966,,,,,Carlow,County_Carlow
8210CO11106,201111,MSD Carlow,,52.85425407,-6.884614593,,,,,MSD Carlow,County_Carlow
8210CO11108,111231,Pollerton Manor,,52.8467047,-6.895259523,,,,,Carlow,County_Carlow
8210CO11109,111091,Beechwood Park,,52.84492371,-6.898986332,,,,,Carlow,County_Carlow
8210CO11110,111101,Burrindale,,52.84194959,-6.902000706,,,,,Carlow,County_Carlow
8210CO11111,111241,Sandhills,,52.83941104,-6.907423159,,,,,Carlow,County_Carlow
8210CO11112,111121,O'Brien Road,,52.84088411,-6.909271342,,,,,Carlow,County_Carlow
8210CO11113,111131,Deerpark,,52.84478434,-6.910183062,,,,,Carlow,County_Carlow
8210CO11114,111141,Green Lane,,52.8417804,-6.916849042,,,,,Carlow,County_Carlow
8210CO11115,111151,Fire Station,,52.8369803,-6.922727334,,,,,Carlow,County_Carlow
8210CO11117,111171,Hanover Road,,52.8318568,-6.9286568,,,,,Carlow,County_Carlow
8210CO11118,111181,New Street,,52.8290336,-6.931545801,,,,,Carlow,County_Carlow
8210CO11119,111191,Green Road,,52.82573798,-6.933882118,,,,,Carlow,County_Carlow
8210CO11120,111201,Bourlum Wood,,52.82300752,-6.93610041,,,,,Carlow,County_Carlow
8210CO11121,111211,South East T.U.,,52.82596694,-6.937363594,,,,,Carlow,County_Carlow
8210CO11122,111221,Southern Gardens,,52.82257226,-6.941704772,,,,,Carlow,County_Carlow
8210CO11123,201011,Tyndall College,,52.81917638,-6.944917737,,,,,Tyndall College,County_Carlow
8210CO11125,111251,Sleaty Street,,52.84399962,-6.939654804,,,,,Carlow,County_Laois
8210CO11126,111261,Duggan Avenue,,52.84049061,-6.938241083,,,,,Carlow,County_Carlow
8210CO11127,113911,Maryborough Street,,52.83708526,-6.938368667,,,,,Carlow,County_Carlow
8210CO11128,111281,Castle,,52.83662142,-6.935752897,,,,,Carlow,County_Carlow
8210CO11129,111291,Kennedy Avenue,,52.83565786,-6.931546496,,,,,Carlow,County_Carlow
8210CO11132,111321,Pollerton Road,,52.83683604,-6.918723465,,,,,Carlow,County_Carlow
8210CO11133,111331,St Patrick's Avenue,,52.83725505,-6.914408728,,,,,Carlow,County_Carlow
8210CO11134,111341,Laurence O'Toole's,,52.83868321,-6.911359982,,,,,Carlow,County_Carlow
8210CO11135,113921,Askea,,52.83537933,-6.910789557,,,,,Carlow,County_Carlow
8210CO11138,113951,Tullow Road,,52.83146449,-6.907310918,,,,,Carlow,County_Carlow
8210CO11139,111391,The Orchards,,52.82998895,-6.90325209,,,,,Carlow,County_Carlow
8210CO11140,113961,Wallsforge,,52.82797008,-6.899741488,,,,,Carlow,County_Carlow
