route_id,corridor_id
3048_36876,17
3502_36465,17
3705_48663,17
3082_36320,17
3061_40672,17
3689_56351,17
3689_56337,17
3689_56231,17
3689_56219,17
3689_56319,23b
3728_40507,23b
3705_48665,23b
3728_40502,23b
3689_56131,23b
3689_56130,23b
3689_56140,23b
3689_56170,23b
3659_55077,23b
3541_40674,23b
3728_40506,23b
3728_40505,23b
3728_40504,23b
3713_42660,23b
3713_42694,23b
3574_40491,23b
3048_36877,23b
3574_40492,23b
3035_37724,23b
3689_56152,23b
3689_56319,A31
3048_36878,A31
3048_36874,A31
3732_57535,A31
3581_42676,A67
3689_56134,A78
3689_56272,A78
3124_37715,A78
3581_42677,A89
3731_57534,A89
3581_42677,A89
3581_42677,A89
3070_40574,A89
3070_40571,A89
3689_56127,A90
3502_51295,A90
3731_40664,A90
3689_56142,A90
3035_37724,B52
3689_56337,B57
3728_40507,B57
3689_56261,B57
3713_42659,B57
3574_40491,B57
3574_40492,B57
3957_63267,974
3365_48661,974
3957_63290,974
