service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,descr_service_type,service_type
155,0,0,1,0,0,0,0,20240403,20240403,Wed,4
156,0,0,0,1,0,0,0,20240404,20240404,Thur,5
157,0,0,0,0,1,0,0,20240405,20240405,Fri,6
158,0,1,0,0,0,0,0,20240402,20240402,Tue,3
159,0,0,0,0,0,0,1,20240331,20240421,Sun,8
160,1,0,0,0,0,0,0,20240401,20240401,Mon,2
161,0,0,0,0,1,0,0,20240405,20240419,Fri,6
162,1,0,0,0,0,0,0,20240401,20240422,Mon,2
163,0,0,0,0,0,1,1,20240331,20240421,Sat-Sun,16
164,0,1,1,1,0,0,0,20240402,20240418,Tue-Thur,14
165,1,1,1,1,1,1,1,20240331,20240422,Mon-Sun,11
166,1,0,0,0,1,1,1,20240331,20240422,#N/A,#N/A
167,1,1,1,1,1,1,1,20240423,20250331,Mon-Sun,11
168,1,0,0,0,1,1,1,20240426,20250331,#N/A,#N/A
169,0,0,0,0,0,0,0,20240401,20241226,No-Service,0
170,1,1,1,1,1,0,0,20240402,20240628,Mon-Fri,1
171,0,0,0,0,0,0,1,20240331,20240623,Sun,8
172,1,0,0,0,0,0,0,20240408,20240923,Mon,2
173,0,1,0,0,0,0,0,20240402,20240924,Tue,3
174,0,0,1,0,0,0,0,20240403,20240925,Wed,4
175,0,0,0,1,0,0,0,20240404,20240926,Thur,5
176,0,0,0,0,1,0,0,20240405,20240927,Fri,6
177,0,0,0,0,0,1,0,20240406,20240928,Sat,7
178,0,0,0,0,0,0,0,20240401,20240805,No-Service,0
179,0,0,0,0,0,0,1,20240331,20240922,Sun,8
180,0,1,0,0,0,0,0,20240409,20240924,Tue,3
181,0,0,0,1,0,0,0,20240502,20240926,Thur,5
182,0,0,1,0,0,0,0,20240501,20240925,Wed,4
183,0,0,0,0,1,0,0,20240503,20240927,Fri,6
184,0,0,0,0,0,0,1,20240331,20240929,Sun,8
185,0,0,0,0,0,0,1,20240407,20241201,Sun,8
186,0,0,0,0,0,0,0,20240603,20240603,No-Service,0
187,0,0,0,0,0,0,0,20240805,20240805,No-Service,0
188,1,1,1,1,1,0,0,20240402,20241206,Mon-Fri,1
189,0,0,0,0,0,1,0,20240406,20241207,Sat,7
190,0,0,0,0,0,0,0,20240504,20240504,No-Service,0
191,0,0,0,0,0,0,0,20240518,20240518,No-Service,0
192,0,0,0,0,0,0,0,20240505,20240505,No-Service,0
193,0,0,0,0,0,0,0,20240506,20240506,No-Service,0
194,0,0,0,0,0,0,0,20240414,20240414,No-Service,0
195,0,0,0,0,0,0,0,20240609,20240609,No-Service,0
196,0,0,0,0,0,1,0,20240406,20241207,Sat,7
197,0,0,0,0,0,1,0,20240413,20241207,Sat,7
198,1,1,1,1,1,0,0,20240401,20240405,Mon-Fri,1
