2990_1,2990_2,2990_3,2990_4,2991_1,2991_10,2991_11,2991_2,2991_3,2991_4,2991_5,2991_6,2991_7,2991_8,2991_9,3149_3,3149_4,3149_5,3149_6,3149_7,3149_8,3150_1,3150_2,3150_3,3150_4,3150_5,3150_6,stop_id,stop_name,stop_latitude,stop_longitude,settlement,county
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8520B141571,Belturbet,54.1007064,-7.444555751,Belturbet,County_Cavan
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852000028,Centra Supermarket,54.09873917,-7.431234991,Belturbet,County_Cavan
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852000031,Oakview Nursing Home,54.09195869,-7.424494796,Oakview Nursing Home,County_Cavan
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852000033,Drumaloor Church,54.07137831,-7.407315928,Drumaloor Church,County_Cavan
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8520B141581,Butlersbridge,54.04348142,-7.379725827,Butlersbridge,County_Cavan
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852000059,Saint Patricks Coll,54.00990456,-7.356562938,Cavan,County_Cavan
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8520LL10008,Cavan Institute,53.99977393,-7.359312101,Cavan,County_Cavan
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8520B1358603,Cavan Bus Station,53.99019788,-7.363286601,Cavan,County_Cavan
0,0,0,0,08:53:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852000064,Cavan General,53.99865832,-7.374413535,Cavan,County_Cavan
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852000065,Cavan General Hospital,53.99880138,-7.374274121,Cavan,County_Cavan
